"drug";"effect";"frequency";"max_probability";"min_probability"
Ацетазоламид;анафилактический/анафилактоидный реакция, включая шок и смерть;Часто неизвеста;;
Ацетазоламид;дискразия кровь, такой как апластический анемия;Часто неизвеста;;
Ацетазоламид;агранулоцитоз;Часто неизвеста;;
Ацетазоламид;лейкопения;Часто неизвеста;;
Ацетазоламид;тромбоцитопения;Часто неизвеста;;
Ацетазоламид;тромбоцитопения пурпур;Часто неизвеста;;
Ацетазоламид;потеря аппетит;Часто неизвеста;;
Ацетазоламид;электролитный нарушение;Часто неизвеста;;
Ацетазоламид;метаболический ацидоз и гипокалиемия при длительный терапия;Часто неизвеста;;
Ацетазоламид;гипонатриемия и остеомаляция при длительный терапия;Часто неизвеста;;
Ацетазоламид;гипер/гипогликемия;Часто неизвеста;;
Ацетазоламид;светочувствительность;Редко;0.001;0.0001
Ацетазоламид;кожный реакция;Часто неизвеста;;
Ацетазоламид;синдром стивенс-джонсон;Часто неизвеста;;
Ацетазоламид;токсический эпидермальный некролиз;Часто неизвеста;;
Ацетазоламид;крапивница;Часто неизвеста;;
Ацетазоламид;сыпь, включая мультиформный эритема;Часто неизвеста;;
Ацетазоламид;тошнота;Часто неизвеста;;
Ацетазоламид;рвота;Часто неизвеста;;
Ацетазоламид;диарея;Часто неизвеста;;
Ацетазоламид;мелена;Часто неизвеста;;
Ацетазоламид;нарушение функция печень;Часто неизвеста;;
Ацетазоламид;холестатический желтуха;Часто неизвеста;;
Ацетазоламид;фулминовый некроз печень;Часто неизвеста;;
Ацетазоламид;гепатит;Часто неизвеста;;
Ацетазоламид;парестея;Очень часто;1.0;0.1
Ацетазоламид;сонливость;Часто неизвеста;;
Ацетазоламид;головной боль;Часто неизвеста;;
Ацетазоламид;головокружение;Часто неизвеста;;
Ацетазоламид;изменение вкус;Часто неизвеста;;
Ацетазоламид;атаксия;Часто неизвеста;;
Ацетазоламид;вялый паралич;Часто неизвеста;;
Ацетазоламид;судорога;Часто неизвеста;;
Ацетазоламид;нарушение чувствительность;Часто неизвеста;;
Ацетазоламид;путаница;Часто неизвеста;;
Ацетазоламид;раздражительность;Часто неизвеста;;
Ацетазоламид;депрессия;Часто неизвеста;;
Ацетазоламид;возбуждение;Часто неизвеста;;
Ацетазоламид;снижение либидо;Часто неизвеста;;
Ацетазоламид;временной близорукость;Часто неизвеста;;
Ацетазоламид;почечный колика;Часто неизвеста;;
Ацетазоламид;повышение риск гнефролитиаз;Часто неизвеста;;
Ацетазоламид;почечный недостаточность;Часто неизвеста;;
Ацетазоламид;полиурия;Часто неизвеста;;
Ацетазоламид;полидипсия;Часто неизвеста;;
Ацетазоламид;кристаллурия;Часто неизвеста;;
Ацетазоламид;почечный камень;Часто неизвеста;;
Ацетазоламид;гематурия;Часто неизвеста;;
Ацетазоламид;гликосурия;Часто неизвеста;;
Ацетазоламид;задержка рост у ребёнок;Часто неизвеста;;
Ацетазоламид;покраснение кожа;Часто неизвеста;;
Ацетазоламид;недомогание;Часто неизвеста;;
Ацетазоламид;жажда;Часто неизвеста;;
Ацетазоламид;усталость;Часто неизвеста;;
Ацетазоламид;высокий температура;Часто неизвеста;;
Ацетазоламид;нарушение слух;Часто неизвеста;;
Ацетазоламид;боль в место инъекция;Часто неизвеста;;
Ацетилсалициловая_кислота;интерстициальный нефрит;Часто неизвеста;;
Ацетилсалициловая_кислота;папиллярный некроз;Часто неизвеста;;
Ацетилсалициловая_кислота;почечный недостаточность и почечный недостаточность терминальный;Часто неизвеста;;
Ацетилсалициловая_кислота;увеличение тенденция к кровотечение;Часто;0.1;0.01
Ацетилсалициловая_кислота;апластический анемия, агранулоцитоз;Редко;0.001;0.0001
Ацетилсалициловая_кислота;тромбоцитопения;Редко;0.001;0.0001
Ацетилсалициловая_кислота;увеличение протромбиновый время;Часто неизвеста;;
Ацетилсалициловая_кислота;диссеминировать внутрисосудистый свёртывание;Часто неизвеста;;
Ацетилсалициловая_кислота;коагулопатия;Часто неизвеста;;
Ацетилсалициловая_кислота;кровотечение до роды и после роды;Часто неизвеста;;
Ацетилсалициловая_кислота;анемия;Часто неизвеста;;
Ацетилсалициловая_кислота;анафилактический реакция, включая шок;Редко;0.001;0.0001
Ацетилсалициловая_кислота;крапивница;Часто неизвеста;;
Ацетилсалициловая_кислота;ангионевротический образование;Часто неизвеста;;
Ацетилсалициловая_кислота;кожный сыпь;Часто неизвеста;;
Ацетилсалициловая_кислота;синдром стивен-джонсон;Редко;0.001;0.0001
Ацетилсалициловая_кислота;синдром лиэлла;Редко;0.001;0.0001
Ацетилсалициловая_кислота;узловой эритема;Редко;0.001;0.0001
Ацетилсалициловая_кислота;многоформенный экссудативный эритема;Редко;0.001;0.0001
Ацетилсалициловая_кислота;пурпур;Часто неизвеста;;
Ацетилсалициловая_кислота;временной повышение фермент печень;Часто неизвеста;;
Ацетилсалициловая_кислота;гепатит;Часто неизвеста;;
Ацетилсалициловая_кислота;синдром рей;Часто неизвеста;;
Ацетилсалициловая_кислота;печёночный недостаточность;Часто неизвеста;;
Ацетилсалициловая_кислота;жажда;Часто неизвеста;;
Ацетилсалициловая_кислота;обезвоживание;Часто неизвеста;;
Ацетилсалициловая_кислота;гиперкалиемия;Часто неизвеста;;
Ацетилсалициловая_кислота;метаболический ацидоз;Часто неизвеста;;
Ацетилсалициловая_кислота;респираторный алкалоз;Часто неизвеста;;
Ацетилсалициловая_кислота;гипогликемия;Часто неизвеста;;
Ацетилсалициловая_кислота;гипергликемия;Часто неизвеста;;
Ацетилсалициловая_кислота;гиперурикемия;Часто неизвеста;;
Ацетилсалициловая_кислота;задержка соль и вода;Часто неизвеста;;
Ацетилсалициловая_кислота;геморрагический васкулит;Редко;0.001;0.0001
Ацетилсалициловая_кислота;дисритмия;Часто неизвеста;;
Ацетилсалициловая_кислота;гипотония;Часто неизвеста;;
Ацетилсалициловая_кислота;тахикардия;Часто неизвеста;;
Ацетилсалициловая_кислота;отёк головной мозг;Часто неизвеста;;
Ацетилсалициловая_кислота;головной боль при кома;Часто неизвеста;;
Ацетилсалициловая_кислота;субдуральный внутричерепной кровоизлияние;Часто неизвеста;;
Ацетилсалициловая_кислота;судорога;Часто неизвеста;;
Ацетилсалициловая_кислота;летаргия;Часто неизвеста;;
Ацетилсалициловая_кислота;головокружение;Часто неизвеста;;
Ацетилсалициловая_кислота;высокий температура;Часто неизвеста;;
Ацетилсалициловая_кислота;гипотермия;Часто неизвеста;;
Ацетилсалициловая_кислота;потеря слух;Часто неизвеста;;
Ацетилсалициловая_кислота;шум в ухо;Часто неизвеста;;
Ацетилсалициловая_кислота;нарушение слух;Часто неизвеста;;
Ацетилсалициловая_кислота;рабдомиолиз;Часто неизвеста;;
Ацетилсалициловая_кислота;гиперпной;Часто неизвеста;;
Ацетилсалициловая_кислота;отёк лёгкий;Часто неизвеста;;
Ацетилсалициловая_кислота;тахипноэ;Часто неизвеста;;
Ацетилсалициловая_кислота;эпистаксис;Часто неизвеста;;
Ацетилсалициловая_кислота;одышка;Часто неизвеста;;
Ацетилсалициловая_кислота;бронхоспазм;Часто неизвеста;;
Ацетилсалициловая_кислота;астма;Часто неизвеста;;
Ацетилсалициловая_кислота;диспепсия;Часто;0.1;0.01
Ацетилсалициловая_кислота;желудочный-кишечный кровотечение;Часто неизвеста;;
Ацетилсалициловая_кислота;язвение;Часто неизвеста;;
Ацетилсалициловая_кислота;перфорация;Часто неизвеста;;
Ацетилсалициловая_кислота;тошнота;Часто неизвеста;;
Ацетилсалициловая_кислота;рвота;Часто неизвеста;;
Ацетилсалициловая_кислота;панкреатит;Часто неизвеста;;
Ацетилсалициловая_кислота;раздражение желудок;Часто неизвеста;;
Ацетилсалициловая_кислота;эрозия желудочный-кишечный тракт;Часто неизвеста;;
Ацетилсалициловая_кислота;гастрит;Часто неизвеста;;
Ацетилсалициловая_кислота;мелена;Часто неизвеста;;
Ацетилсалициловая_кислота;гематемезис;Часто неизвеста;;
Ацетилсалициловая_кислота;кровоточивость десна;Часто неизвеста;;
Ацетилсалициловая_кислота;меноррагия;Редко;0.001;0.0001
Ацетилсалициловая_кислота;протеинурия;Часто неизвеста;;
Ацетилсалициловая_кислота;ажитация;Часто неизвеста;;
Ацетилсалициловая_кислота;путаница;Часто неизвеста;;
Аллопуринол;сыпь;Часто;0.1;0.01
Аллопуринол;макулопапулярный сыпь;Часто;0.1;0.01
Аллопуринол;экхимоза;Не часто;;
Аллопуринол;синдром стивен-джонсон;Редко;0.001;0.0001
Аллопуринол;синдром лиэлла;Редко;0.001;0.0001
Аллопуринол;алопеция;Очень редко;0.0001;0.0
Аллопуринол;обесцвечивание волос;Очень редко;0.0001;0.0
Аллопуринол;ангионевротический образование;Очень редко;0.0001;0.0
Аллопуринол;фиксировать лекарственный сыпь;Очень редко;0.0001;0.0
Аллопуринол;потоотделение;Часто неизвеста;;
Аллопуринол;генерализовать гиперчувствительность;Редко;0.001;0.0001
Аллопуринол;анафилаксия;Очень редко;0.0001;0.0
Аллопуринол;реакция гиперчувствительность;Часто неизвеста;;
Аллопуринол;увеличение щелочной фосфатаз и сыворотка трансаминаза;Часто;0.1;0.01
Аллопуринол;дисфункция печень, включая гепатит;Редко;0.001;0.0001
Аллопуринол;гепатомегалий;Редко;0.001;0.0001
Аллопуринол;холестатический желтуха;Редко;0.001;0.0001
Аллопуринол;клинический гепатотоксичность;Часто неизвеста;;
Аллопуринол;печёночный недостаточность;Часто неизвеста;;
Аллопуринол;диарея;Часто;0.1;0.01
Аллопуринол;тошнота;Часто;0.1;0.01
Аллопуринол;рвота;Часто;0.1;0.01
Аллопуринол;блуждать боль в живот;Редко;0.001;0.0001
Аллопуринол;гастрит;Редко;0.001;0.0001
Аллопуринол;диспепсия;Редко;0.001;0.0001
Аллопуринол;стеаторея;Очень редко;0.0001;0.0
Аллопуринол;повторяться гематемезис;Очень редко;0.0001;0.0
Аллопуринол;стоматит;Очень редко;0.0001;0.0
Аллопуринол;изменение привычка кишечник;Очень редко;0.0001;0.0
Аллопуринол;геморрагический панкреатит;Часто неизвеста;;
Аллопуринол;желудочный-кишечный кровотечение;Часто неизвеста;;
Аллопуринол;отёк слюнный железа;Часто неизвеста;;
Аллопуринол;отёк язык;Часто неизвеста;;
Аллопуринол;анорексия;Часто неизвеста;;
Аллопуринол;метеоризм;Часто неизвеста;;
Аллопуринол;лейкоцитоз;Очень редко;0.0001;0.0
Аллопуринол;лейкопения;Очень редко;0.0001;0.0
Аллопуринол;эозинофилия;Очень редко;0.0001;0.0
Аллопуринол;тромбоцитопения;Очень редко;0.0001;0.0
Аллопуринол;гранулоцитопение;Очень редко;0.0001;0.0
Аллопуринол;агранулоцитоз;Очень редко;0.0001;0.0
Аллопуринол;апластический анемия;Очень редко;0.0001;0.0
Аллопуринол;депрессия костный мозг;Часто неизвеста;;
Аллопуринол;эозинофильный фиброистиоцитарный поражение костный мозг;Часто неизвеста;;
Аллопуринол;панситопения;Часто неизвеста;;
Аллопуринол;анемия;Часто неизвеста;;
Аллопуринол;гемолитический анемия;Часто неизвеста;;
Аллопуринол;ретикулоцитоз;Часто неизвеста;;
Аллопуринол;лимфаденопатия;Часто неизвеста;;
Аллопуринол;лимфоцитоз;Часто неизвеста;;
Аллопуринол;диссеминировать внутрисосудистый свёртывание;Часто неизвеста;;
Аллопуринол;почечный недостаточность;Часто;0.1;0.01
Аллопуринол;ксантиновый кристаллурия;Очень редко;0.0001;0.0
Аллопуринол;азосемия;Очень редко;0.0001;0.0
Аллопуринол;головной боль;Не часто;;
Аллопуринол;атаксия;Очень редко;0.0001;0.0
Аллопуринол;сонливость;Очень редко;0.0001;0.0
Аллопуринол;кома;Очень редко;0.0001;0.0
Аллопуринол;паралич;Очень редко;0.0001;0.0
Аллопуринол;парестезия;Очень редко;0.0001;0.0
