from$label_from$sent_from$type$to$label_to$sent_to
средства, действующие на ренин-ангиотензиновую систему$group$средства, действующие на ренин-ангиотензиновую систему; антагонисты рецепторов ангиотензина II.$sub_group$антагонисты рецепторов ангиотензина II$group$средства, действующие на ренин-ангиотензиновую систему; антагонисты рецепторов ангиотензина II.
Ангиотензин II$hormone$Фармакодинамика Ангиотензин II – основной гормон РААС, который играет важную роль в патогенезе артериальной гипертензии, сердечной недостаточности и других сердечно-сосудистых заболеваний.$Not_link$гормон РААС$hormone$Фармакодинамика Ангиотензин II – основной гормон РААС, который играет важную роль в патогенезе артериальной гипертензии, сердечной недостаточности и других сердечно-сосудистых заболеваний.
ангиотензина II$hormone$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$link$вазоконстрикция$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
ангиотензина II$hormone$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$link$стимуляция продукции альдостерона$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
ангиотензина II$hormone$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$link$регуляция водно-электролитного гомеостаза$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
ангиотензина II$hormone$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$link$стимуляция клеточного роста$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
вазоконстрикция$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$Not_link$стимуляция продукции альдостерона$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
вазоконстрикция$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$Not_link$регуляция водно-электролитного гомеостаза$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
вазоконстрикция$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$Not_link$стимуляция клеточного роста$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
стимуляция продукции альдостерона$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$Not_link$регуляция водно-электролитного гомеостаза$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
стимуляция продукции альдостерона$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$Not_link$стимуляция клеточного роста$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
