source;target
сохранять энергетический метаболизм клеток;трансмембранный перенос ион
эналаприл;положительный тест на антинуклеарный антитело
нитроглицерин;сонливость
ингибитор ангиотензинпревращать фермент (апф);лизиноприл
хинидин;бронхоспазм
сертралин;селективный ингибитор обратный захват серотонин (5-НТ) в нейронах
хинидин;пилоэрекция
активация рецепторзависимый аденилатциклаза;повышение внутриклеточный концентрация ион кальций адренорецептор α
аллопуринол;токсический эпидермальный некролиз
эритромицин;крапивница
увеличение количество выделять моча;увеличение объём моча
снижение секреция альдостерон;повышение концентрация ион калий сыворотка кровь
спиронолактон;алопеция
валсартан;головный боль
небиволол;одышка
эритропения;анемия
периндоприл;гипертонус
уменьшение секреция альдостерон кора надпочечник;гиперкалиемия
вазодилатировать;снижать общий периферический сосудистый сопротивление
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;паранойя
повышать проводимость миокард;брадикардия
валсартан;тромбоцитопения
фозиноприлат;ингибитор ангиотензинпревращающать фермент
ацетазоламид;почечный недостаточность
амлодипин;мышечный спазм
центральный действие;изменение внимание
колхицин;противоподагрическое действие
валсартан;блокада рецептор к ангиотезин ii 1-го тип (AT1)
цизаприд;двигательный беспокойство
пентамидин;кровотечение из желудочнокишечный тракт
увеличивать синтез простагландин;снижать общий периферический сосудистый сопротивление артериальный давление
норэпинефрин;слабость
вазодилатировать действие;антигипертензивный действие
ибутилида;азотемия
гидрохлоротиазид;на центральный нервный система
дигоксин;спутанность сознание
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;тахикардия
ранолазин;одышка
повышение концентрация циклический гуанозинмонофосфат (цГМФ);действие антифибротический
брадикардия;снижение ад
галофантрина;полиурия
уменьшение выделение альдостерон;снижать общий периферический сосудистый сопротивление артериальный давление
валсартан;анафилаксия
зипразидон;желудочковый или наджелудочковый аритмия
колхицин;аплазия
цизаприд;av блокада ii и iii степень
бмкк;амлодипин
ранолазин;амнезия
периндоприл;гипонатриемия
эналаприл;инфекция верхний дыхательный путь
периндоприл;звон в ухо
эналаприл;эритродермия
дигоксин;диарея
блокировать;адренорецептор β1 синаптический
аллопуринол;лейкопения
ингибирование ih-канал сетчатки глаза;изменение реакция сетчатка на яркий световой стимул
морфин;нистагм
периндоприл;тяжёлый анафилактоидный реакция
ацетазоламид;снижение либидо
бепридить;шок (у пациент с бронхиальный астма)
желудочковый аритмия;полиморфный желудочковый тахикардия тип «пируэт»
эсциталопрам;низкий аффинность рецептор адренорецептор β
гидрохлоротиазид;апластический анемия
фозиноприл;тахикардия
адренорецептор β2;нарушение периферический кровообращение
норэпинефрин;увеличение концентрация лактат в сыворотка кровь
лейкопения;агранулоцитоз
ивабрадин;шок (у пациент с бронхиальный астма)
периндоприл;нитритоидный реакция
карведилол;гиперхолестеринемия
амлодипин;кожный зуд
ингибитор и индуктор изофермент cyp3a4;клинически значимый влияние на он метаболизм и фармакокинетический свойство
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;бессонница
амлодипин;мочь повышать риск развитие ангионевротический отёк
ингибитор ангиотензинпревращать фермент (апф);периндоприл
сохранение клеточный гомеостаз;сохранять уровень высокоэнергетический фосфат в клетка миокард
рамиприл;нарушение сон
конкурентный антагонист альдостерон;подавлять калийвыводить эффект
подавление активность раас;ингибирование апф
рамиприл;синдром рейно
рамиприл;кожный зуд
аллопуринол;кишечник
бепридить;запор
периндоприл;ощущение
ацетилсалициловый кислота;белок плазма кровь
эналаприл;запор
аллопуринол;повышение артериального давления
ивабрадин;запор
амиодарон;эритема
фуросемид;системный симптом
лс, удлинять интервал qt, не относиться к антиаритмический средство;зипразидон
бета-адреноблокатор;карведилол
амлодипин;крапивница
сертиндол;кожный сыпь
эналаприл;чувство дискомфорт
сертиндол;повышение или снижение ад
центральный действие;действие транквилизировать
рамиприл;гипоперфузия
брадикардия;выраженный брадикардия
пимозид;повышение или снижение ад
рамиприл;крапивница
цизаприд;крапивница
тиазидный диуретик;тиазид
гипокалиемия;запор
рамиприл;нервозность
эналаприл;нечёткость зрение
галофантрина;кожный зуд
повышать автоматизм миокард;желудочковый аритмия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;снижать желудочно-кишечный тракт моторика
положительный инотропный действие;повышение артериальный давление
периндоприл;ухудшение функция почка
каптоприл;аутоиммунный заболевание
спиронолактон;усталость
колхицин;судороги
ингибитор апф;эналаприл
тахикардия;анорексия
эналаприл;боль в горло
периндоприл;рвота
фозиноприл;ощущение сердцебиение
фозиноприл;миалгия
периндоприл;эректильный дисфункция
эналаприл;кишечный непроходимость
нарушение водный-электролитный баланс;потеря сознание
пентамидин;тошнота
снижение артериальный давление;тошнота
каптоприл;расстройство сон
соталола;реакция гиперчувствительность
снижение артериальный давление;выраженный снижение ад
нитроглицерин;синдром стивенс-джонсон
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;увеличивать ударный объем кровь
эналаприл;риск
периндоприл;дисгевзия
ивабрадин;полиурия
хинидин;реакция гиперчувствительность
норэпинефрин;затруднение дыхание
хинидин;тревожность
галофантрина;крапивница
бепридить;двигательный беспокойство
эсциталопрам;рвота
карведилол;блокатор адренорецептор α1
каптоприл;кожный зуд с высыпание и без высыпание
нарушение функция почка;почечный недостаточность
лизиноприл;неадекватный секреция антидиуретический гормон
дизопирамида;эритема
периндоприл;панцитопения
снижение вес;анорексия
периндоприл;кардиоваскулярный смерть
цизаприд;неконтролируемый изменение ад
сертиндол;одышка
рамиприл;функция функция почка
сакубитрил;гиперкалиемия
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;тремор
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;акатизий
повышение внутриклеточный концентрация ион кальций адренорецептор α;сужать сосуд
печень;cyp3a4
конкурентный антагонист альдостерон;нарушение менструальный цикл
пимозид;одышка
бепридить;av блокада ii и iii степень
фозиноприл;фозиноприлат
каптоприл;афтозный стоматит
уменьшение объём циркулировать кровь;гипотензивный действие
накопление брадикинин;«сухой» кашель
ацетазоламид;тяжёлый метаболический ацидоз
фозиноприл;бронхоспазм
периндоприл;гипергликемия
морфин;когнитивный нарушение/галлюцинация
периндоприл;артралгия
фелодипин;ангионевротический отек в виде отека губ или языка
фуросемид;нефротоксический действие
ранолазин;повышение концентрация креатинин в плазма кровь
амлодипин;с возможный летальный исход
фозиноприл;мышечный слабость
антагонист альдостерона;увеличение концентрация
цизаприд;экстрасистолия
ивабрадин;av блокада ii и iii степень
ацетазоламид;сонливость
сертиндол;кровотечение из желудочнокишечный тракт
снижать активность ренин-ангиотензин-альдостеронов система (раас);устранять вазоконстрикторный воздействие сосуд венозный
пентамидин;наджелудочковый экстрасистолия
не оказывать клинически значимый влияние на фармакокинетика;лацидипин
ацетазоламид;тошнота
угнетение биосинтез пурин;уменьшать концентрация мочевой кислоты моча
пимозид;кровотечение из желудочнокишечный тракт
фуросемид;агранулоцитоз
валсартан;почечный недостаточность
увеличивать синтез простагландин;бронхоспазм
блокатор «медленных» кальциевых каналов;снижать канальцевый реабсорбция натрий
валсартан;ангионевротический отек
колхицин;лейкопения
ацетазоламид;поражение почка
положительный инотропный действие;повышение сократительный способность сердечный мышца
сертралин;влияние на обратный захват нейронами норадреналин
блокада рецептор к ангиотезин ii 1-го тип (AT1);подавлять негативный эффект ангиотензин ii сердечно-сосудистый система
эсциталопрам;развитие кровотечение
фозиноприл;шум в ухо
инсулин;гипогликемический действие
эналаприл;раздражение желудок
эсциталопрам;артралгия
эсциталопрам;носовой кровотечение
фозиноприл;периферический отек
гипотензия;головокружение
карведилол;боль в конечность
эналаприл;нарушение сон
ибутилида;эритема
карведилол;повышение ад
центральный действие;головокружение
увеличение количество выделять моча;нарушение водный-электролитный баланс
блокатор «медленных» кальциевых каналов;дилатация коронарный сосуд
цизаприд;гипокалиемия
центральный действие;угнетение дыхание
цизаприд;расширение комплекс qrs на экг
уменьшение выделение альдостерон;гинекомастие
ивабрадин;кожный зуд
ранолазин;гипестезия
колхицин;гепо-спленомегалия
ацетазоламид;аритмия
фозиноприл;лихорадка
повышение внутриклеточный концентрация ион кальций адренорецептор α;расширять зрачок
