label;tag
снижение кровоток гладкий мышца;action
диарея;side_e
периферический действие;action
«кошмарный» сновидение;side_e
ингибитор протонный помпа;group
устранять вазоконстрикторный воздействие;action
повышение частота сердечнососудистый заболеваемость и смертность;side_e
сиролимус;prepare
усугубление симптом сердечный недостаточность;side_e
симптом паркинсонизм;side_e
усиливает глюконеогенез;action
повышенный потоотделение;side_e
функция печень;side_e
агрессия;side_e
нарушение мочеиспускания;side_e
кожный зуд с высыпание и без высыпание;side_e
норэпинефрин;prepare
тяжёлый анафилактический;side_e
блокировать система транспорт ион в толстой сегмент восходить колено петля генль na+;mechanism
снижение толерантность к глюкоза;side_e
потребовать подбор более высокий доза;action
средства, действующий на ренин-ангиотензиновый система;group
появление суицидальный мысль и поведение;side_e
антагонисты альдостерона и другие калийсберегающие диуретики;group
связать с механизм действие;action
смерть;side_e
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;mechanism
антагонисты рецепторов ангиотензина ii;group
гиперлипидемия;side_e
шум в ухо;side_e
нарушение координация движение;side_e
гастрит;side_e
гипертензия;side_e
фуросемид;prepare
снижение содержание объем жидкость;action
способствовать периферический вазодилатация;mechanism
устранять вазоконстрикторный воздействие сосуд венозный;action
инфекция мочевыводящий путь;side_e
тревога;side_e
онихолиз;side_e
подкожный;absorbtion
тромбоцитоз;side_e
мышечный боль;side_e
органический азотсодержащий соединение;group
повышение содержание калий в;side_e
снижение симпатическая активность;action
нарушение вестибулярный аппарат;side_e
лекарственный средство, снижать ад;group
селективный блокатор кальциевый канал с преимущественный действие на сосуд;group
вазодилатация;action
нефрокальциноз/нефролитиаз;side_e
лекарственный сыпь с эозинофилия;side_e
периферическая нейропатия;side_e
кардиотоксический и нейротоксический действие;side_e
потливость;side_e
триметоприм;prepare
печёночный колика;side_e
вызывает выведение фосфат;action
производный дигидропиридиновый ряд;group
отёк;side_e
подавление деятельность костный мозг;side_e
фоточувствительность;side_e
уменьшать концентрация глюкоза в плазма кровь;action
диуретический эффект;action
ангиоиммунобластная Т-клеточная лимфома;side_e
вызывать различный степень седации;side_e
соль калий;group
дизгевзия;side_e
учащенный мочеиспускание;side_e
снижать общий периферический сосудистый сопротивление артериальный давление;mechanism
снижение давление наполнение;action
выраженный брадикардия;side_e
растительный средство, содержать зверобой продырявить;group
аритмия;side_e
дискинезия;side_e
одновременный применение с ингибитор мао (моноаминоксидаза);banned
блокатор медленный кальциевый канал;group
снижение реабсорбция эпителий каналец ион натрий;action
