оригинал;перевод
black, tarry stools;Черный, табуретки
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
blood in the urine;кровь в моче
bloody nose;кровавый нос
change in consciousness;изменение в сознании
chest pain or tightness;Боль в груди или стеснение
chills;озноб
clay-colored stools;глиняный стул
confusion;путаница
cough or hoarseness;кашель или хрипота
dark urine;темная моча
diarrhea;диарея
difficulty swallowing;Сложность глотания
dizziness;головокружение
drowsiness;сонливость
fever;высокая температура
frequent urination;Частое мочеиспускание
headache;головная боль
heavier menstrual periods;более тяжелые менструальные периоды
hives, itching, skin rash;ульи, зуд, кожная сыпь
increased volume of pale, dilute urine;Увеличение объема бледной, разбавленной мочи
itching;зуд
joint or muscle pain;боли в суставах или мышцах
loss of appetite;потеря аппетита
loss of consciousness;потеря сознания
lower back or side pain;боль в пояснице или боковой боли
muscle tremors;мышечные тремор
nausea;тошнота
no muscle tone or movement;Нет мышечного тонуса или движения
painful or difficult urination;болезненное или трудное мочеиспускание
pinpoint red spots on the skin;Определите красные пятна на коже
puffiness or swelling of the eyelids or around the face, lips, or tongue;отечность или набухание век или вокруг лица, губ или языка
rash;сыпь
red irritated eyes;красные раздраженные глаза
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
restlessness;беспокойство
seizures;Припадки
sore throat;больное горло
sores, ulcers, or white spots in the mouth or on the lips;язвы, язвы или белые пятна во рту или на губах
stomach pain or cramps;боль в животе или судороги
sudden decrease in amount of urine;внезапное уменьшение количества мочи
sugar in the urine;сахар в моче
swollen or painful glands;опухшие или болезненные железы
trouble breathing;Проблема дыхание
unpleasant breath odor;Неприятный запах дыхания
unusual bleeding or bruising;необычное кровотечение или синяки
unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;необычная сонливость, тупость, усталость, слабость или чувство вялости
unusual tiredness or weakness;необычная усталость или слабость
vomiting of blood;рвота крови
weight loss;потеря веса
yellow eyes or skin;желтые глаза или кожа
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
changes in vision;Изменения в зрения
continuing ringing or buzzing or other unexplained noise in the ears;Продолжение звонка, гудя или другой необъяснимый шум в ушах
hearing loss;Потеря слуха
increased sensitivity of skin to sunlight;Повышенная чувствительность кожи к солнечному свету
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
severe sunburn;Суровый солнечный ожог
abdominal or stomach pain, cramping, or burning;боль в животе или животе, спазмы или сжигание
black, tarry stools;Черный, табуретки
bloody or cloudy urine;кровавая или облачная моча
change in consciousness;изменение в сознании
chest pain or discomfort;боль в груди или дискомфорт
confusion;путаница
constipation;запор
convulsions, severe or continuing;судороги, тяжелые или продолжающиеся
dark urine;темная моча
decreased frequency or amount of urine;снижение частоты или количества мочи
diarrhea;диарея
difficult breathing;Сложное дыхание
drowsiness;сонливость
fainting;обморок
fast breathing;быстрое дыхание
feeling that something terrible will happen;Чувство, что произойдет что -то ужасное
fever;высокая температура
general tiredness and weakness;Общая усталость и слабость
greatly decreased frequency of urination or amount of urine;значительно снижается частота мочеиспускания или количества мочи
headache;головная боль
heartburn;изжога
increased thirst;Увеличение жажды
indigestion;расстройство желудка
irregular heartbeat;аритмия
light-colored stools;Светлый стул
loss of appetite;потеря аппетита
loss of consciousness;потеря сознания
lower back or side pain;боль в пояснице или боковой боли
muscle cramping and weakness;мышечные спазмы и слабость
muscle tremors;мышечные тремор
nausea or vomiting;тошнота или рвота
nervousness;нервозность
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
panic;паника
rapid, deep breathing;Быстрое, глубокое дыхание
restlessness;беспокойство
seizures;Припадки
skin rash;кожная сыпь
stomach cramps;Желудочные судороги
swelling of the face, fingers, or lower legs;Отек лица, пальцев или нижних ног
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
upper right abdominal or stomach;верхняя правая брюшная или желудок
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
weakness or heaviness of the legs;Слабость или тяжесть ног
weight gain;увеличение веса
yellow eyes and skin;желтые глаза и кожа
acid or sour stomach;кислотный или кислый желудок
anxiety;беспокойство
belching;отрыжка
dizziness;головокружение
dry mouth;сухой рот
hyperventilation;гипервентиляция
irritability;раздражительность
shaking;встряхивая
stomach discomfort, upset, or pain;дискомфорт в животе, расстройство или боль
trouble sleeping;Проблемы со сном
unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;необычная сонливость, тупость, усталость, слабость или чувство вялости
swelling of the ankles or feet;отек лодыжек или ног
chest tightness;Грузость груди
difficult or labored breathing;трудное или трудовое дыхание
dizziness;головокружение
fast, irregular, pounding, or racing heartbeat or pulse;быстрое, нерегулярное, стучащее или гоночное сердцебиение или пульс
feeling of warmth;чувство тепла
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
black, tarry stools;Черный, табуретки
bleeding gums;кровоточащие десны
